 lunarmonthold fetuses,Sex,No. of cases,Order of cases,Body length(cm),Body weight (g),Humerus Length (mm),Humerus Width (mm),Radius length (mm),Ulna length (mm),Femur Length (mm),Femur Width (mm),Tibia length (mm),Fibula length (mm)
6.0,M,1.0,54,30.0,570,35.0,9.5,30.5,31.5,37.5,9.0,41.0,39.5
6.0,M,2.0,55,30.0,560,36.0,9.0,30.5,33.0,37.5,9.0,32.0,30.0
6.0,M,3.0,56,31.0,600,39.0,9.5,32.0,35.0,44.1,10.5,36.0,34.0
6.0,M,4.0,57,31.0,520,35.5,9.2,30.0,34.0,37.2,9.7,33.2,32.0
6.0,M,5.0,58,31.0,730,40.0,9.8,33.2,37.7,42.9,10.8,38.4,36.5
6.0,M,6.0,59,31.0,600,40.5,10.5,34.0,37.5,41.0,10.5,37.2,36.0
6.0,F,7.0,60,30.0,610,38.7,9.3,31.9,36.8,44.9,10.2,37.1,36.6
6.0,F,8.0,61,30.0,560,36.0,9.0,30.5,33.5,38.4,9.0,34.0,34.0
6.0,F,9.0,62,30.0,600,43.0,9.5,35.0,39.0,45.0,11.1,40.2,37.4
6.0,F,10.0,63,31.0,770,36.0,9.0,33.5,37.5,39.5,10.2,33.6,32.0
6.0,F,11.0,64,31.0,590,36.0,9.0,29.0,33.0,38.0,9.0,34.0,32.0
6.0,F,12.0,65,31.0,610,36.1,8.4,29.4,33.0,38.0,9.0,33.5,32.0
6.5,M,1.0,66,33.0,640,40.3,9.6,33.0,36.9,40.8,11.0,37.8,36.4
6.5,M,2.0,67,32.0,700,38.3,9.8,32.1,35.2,40.5,9.2,36.4,35.3
6.5,M,3.0,68,32.0,600,39.5,9.8,32.0,36.2,42.0,9.2,38.5,36.0
6.5,M,4.0,69,33.0,670,38.0,10.0,32.0,36.0,39.0,11.0,37.5,35.0
6.5,F,5.0,70,32.0,680,37.0,9.5,33.5,35.0,41.0,11.5,35.0,35.0
6.5,F,6.0,71,32.0,670,40.0,10.0,34.0,37.0,43.0,10.5,37.0,35.0
6.5,F,7.0,72,33.0,625,42.0,9.4,34.8,38.5,45.4,11.4,39.6,39.2
6.5,F,8.0,73,32.0,660,45.0,10.8,36.3,40.5,46.2,12.1,41.6,40.5
6.5,F,9.0,74,33.0,710,43.0,10.0,34.5,40.0,45.3,11.5,40.5,39.0
6.5,F,10.0,75,33.0,630,39.0,9.9,31.7,36.1,41.0,10.0,36.9,34.9
6.5,F,11.0,76,33.0,730,40.7,10.5,32.5,38.0,46.0,12.0,39.5,39.0
6.5,F,12.0,77,33.0,700,41.0,10.0,38.5,40.0,38.5,11.0,38.0,36.0
7.0,M,1.0,78,35.0,865,44.5,10.8,35.4,39.7,46.5,11.8,40.4,39.2
7.0,M,2.0,79,35.0,780,43.1,10.0,35.0,40.5,46.0,12.0,41.0,39.5
7.0,M,3.0,80,5.0,780,42.0,10.0,33.0,38.0,45.0,11.3,39.0,37.0
7.0,M,4.0,81,35.0,770,40.7,9.7,34.8,38.0,44.5,10.5,39.5,37.5
7.0,M,5.0,82,35.0,900,40.5,10.5,35.0,38.5,44.5,10.5,40.0,37.7
7.0,M,6.0,83,35.0,900,46.0,11.0,35.0,40.5,48.0,12.7,43.5,41.0
7.0,M,7.0,84,35.0,910,47.0,11.1,37.1,43.5,49.0,12.8,44.2,43.3
7.0,F,8.0,85,35.0,770,45.0,11.0,36.5,40.0,47.0,11.0,42.0,40.0
7.0,F,9.0,86,36.0,800,42.0,11.0,34.0,38.0,47.0,12.0,43.0,40.0
7.0,F,10.0,87,36.0,1000,46.0,12.0,37.0,41.0,49.0,11.0,43.5,42.0
7.0,F,11.0,88,36.0,960,45.0,11.5,37.0,41.5,48.0,12.0,42.0,40.3
7.0,F,12.0,89,36.0,950,47.0,12.0,37.0,43.0,49.0,13.0,44.0,41.0
7.5,M,1.0,90,38.0,1150,44.0,11.0,36.0,40.0,48.0,13.0,43.0,41.0
7.5,M,2.0,91,37.0,820,45.0,12.0,38.0,42.0,46.0,12.2,43.0,42.0
7.5,M,3.0,92,37.0,930,44.8,11.7,37.3,41.0,46.5,12.5,43.4,42.1
7.5,M,4.0,93,37.0,1110,42.0,11.2,35.5,40.0,45.0,11.5,41.0,40.0
7.5,M,5.0,94,38.0,1010,43.5,11.5,37.0,42.0,47.5,12.0,41.5,39.5
