Lunar month,Sex,No. of cases,Order of cases,Body length (cm),Body weight (g),Frontal squama height cord (mm),Frontal squama height perimeter (mm),Frontal squama width cord (mm),Frontal squama width perimeter (mm),Temporal squama height (mm),Temporal squama width (mm),Temporal squama length (mm),"Annulus tympanicus, diameter (mm)",parietal bone height cord (mm),parietal bone height perimeter (mm),parietal bone width cord (mm),parietal bone width perimeter (mm),Occipatal squama height cord (mm),Occipatal squama height perimeter (mm),Occipatal squama width cord (mm),Occipatal squama width perimeter (mm)
7.5,F,8,97,37,810,36.3,42,34.2,37,16.7,20,20,11,44,65,53.7,58,36,41,42,47
7.5,F,9,98,37,920,40,46,38,42,20,21,23,11,55,55,62,66,43,46,45,49
7.5,F,10,99,38,950,42,48,35.5,37,17.5,21.5,24.1,10.4,53,68,60,64,43,46,46,52
7.5,F,11,100,38,1100,44,49,36.5,38,18,21,25,10,50,65,60,64,45,48,48,53
7.5,F,12,101,38,1100,42,46,32.5,37,19,22,23,10,43,55,50,55,37,46,40,46
8,M,1,102,40,1200,42,48,38,43,20,25,28,11.8,53,67,58,65,43,48,50,58
8,M,2,103,40,1310,42,48,38,42,21.2,24.5,28.5,11,51.2,65,56,63,43.1,48,52,60
8,M,3,104,40,1460,45,50,37,40,20.5,24,26,10,49,62,57,63,41,47,51,59
8,M,4,105,40,1500,49,53,38.7,42,22.4,23,25.7,12,61.5,72,61.7,66,43,49,47,55
8,M,5,106,40,1410,45,48,38,42,20,24,26,10,55,70,56,62,42,48,52,60
8,F,6,107,40,1310,42.3,50,38.4,41,19,23,26.2,10.3,52,68,58,65,42,48,46.2,53
8,F,7,108,40,1330,46,51,37.5,41,19,25,27.3,11,54.6,67,62.8,70,43.5,47,45.3,53
8,F,8,109,40,1250,40,48,37,40,18,24,25,10.8,48,65,57,62,42.5,47,43,54
8.5,M,1,110,42,1900,50,58,40,46,22,26.5,28,12,56,78,68,76,50,62,56,65
8.5,M,2,111,42,1920,51,59,45,50,23,26,28,11,57,76,73,75,50,60,56,64
8.5,M,3,112,42,1860,44.1,48,37.5,43,21,26.6,27.2,10.1,54,70,64.5,73,49.8,57,48.2,59
8.5,M,4,113,43,2100,43.5,48,39,44,21.5,26,29,11,54,71,61.5,72,49,58,51,60
8.5,M,5,114,42,1920,51.2,57,42.4,47,24.2,26,30.4,12.1,56,79,65.5,75,50.5,62,50.2,60
8.5,F,6,115,42,1510,48,56,39,45,22,26,27,11.5,57,72,60,68,48.1,59,46,60
8.5,F,7,116,43,1750,44,52,38,43,23,26,29,12,56,74,60,70,49.5,58,49,59
9,M,1,117,45,1990,47,50,36,45,23,26.5,29,11.5,56,80,64,75,46,57,47,60
9,M,2,118,45,1990,52,61,47,55,23,27,30,12,52,76,70,80,53,64,58,70
9,M,3,119,45,1990,51.9,60,41.5,48,23,27,29.7,11.5,62,82,68,78,53,62,56.4,64
9,F,4,120,46,1800,50.9,60,41.2,50,23,27,29.9,12,58,78,67.7,80,50,62,50,62
9,F,5,121,46,1820,50,58,40.7,48,22.4,27,29.3,12,57,77,65.3,79,50,61,49,61
9.5,M,1,122,48,2650,50.7,60,39.6,51,26.1,27,29,11,63.6,84,67.9,76,55.4,64,53,68
9.5,M,2,123,48,2553,53,64,44,50,25,30,35,12,63,84,71,76,50,60,53,66
9.5,M,3,124,48,3300,53,60,44,52,24,32,34,12.2,64,85,73,82,55,63,62,71
9.5,F,4,125,48,2510,52.8,60,45,54,22,29,28,11,61.5,82,72.3,76,48.5,65,54.5,64
9.5,F,5,126,48,2460,51,58,44,50,23,29,30,11.8,64,81,67,76,55,65,59.5,70
9.5,F,6,127,48,3400,56.1,62,44.5,53,23.2,31,33,13.5,63.3,84,67.1,80,56.5,66,57.1,66
9.5,F,7,128,48,3450,56,69,45.5,55,24.7,31,30.7,12.5,65,91,75,87,53.6,65,56.8,67
10,M,1,129,50,2700,55,63,43,55,24,32,32,12.5,65,81,70,80,55,65,56,65
10,M,2,130,50,2650,53.5,64,46.1,53,22.8,30,31.4,12.3,68,90,78,90,54.6,69,60,76
10,M,3,131,50,3150,52.5,63,44,51,28.4,31,33.4,12.5,65,85,72,80,55,68,59,70
10,M,4,132,55,4120,57.4,67,48,56,30.8,38,39.6,12.6,70.5,92,72,80,57.5,74,66.5,76
10,F,5,133,51,3100,54,66,44,51,24,37,39,12,65,84,78,82,53,66,60,72
10,F,6,134,52,3180,54.8,62,43.8,52,23.7,33,37.7,12,63,86,64,75,51.5,68,56.7,67
10,F,7,135,51,3410,55,64,50.2,56,26,30.5,30,13.1,63,86,76.5,84,55.7,66,56.2,65
10,F,8,136,52,3000,55,65,42,54,22,33,35,13.5,66,87,71,84,56,69,56,71
10,F,9,137,53,3000,55,64,44.6,55,22.7,29.5,32,12,62.3,37,69,80,54,70,56.4,68
10,F,10,138,53,3110,56,67,46,59,27,32,31.4,12,66,90,72,84,59,72,62,72
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
