lunar_month,sex,body_length_cm,body_weight_g,greater_wing_sphenoid_length_mm,greater_wing_sphenoid_width_mm,lesser_wing_sphenoid_length_mm,lesser_wing_sphenoid_width_mm,sphenoid_length_mm,sphenoid_width_mm,petrous_part_length_mm,petrous_part_width_mm,basal_occipital_length_mm,basal_occipital_width_mm,lateral_occipital_length_mm,lateral_occipital_width_mm,dataset
8.5,F,42,1510,25,15,15,9,10,15,28,14.5,10.5,12,20,11,Fazekas and Kosa
8.5,F,43,1750,25,14,15.6,10,8.5,15.5,31,15.5,11,12,19,9,Fazekas and Kosa
9,M,45,1990,26.5,15,16,10.7,9,15.5,31.5,15.7,12,12,22.5,12,Fazekas and Kosa
9,M,45,1990,27,16,16,10.1,9.1999999999999993,16,32,16,12,12.5,20,12,Fazekas and Kosa
9,M,45,1990,27,16,16.100000000000001,9.8000000000000007,9.5,15.5,34,16.7,11.5,13,21.4,11.5,Fazekas and Kosa
9,F,46,1800,25.5,15.2,16,10.9,9.8000000000000007,16.5,33,16,12,12.4,20.4,11,Fazekas and Kosa
9,F,46,1820,26.5,15,15,9.8000000000000007,9.5,16,34,16,11.6,12,20,11.5,Fazekas and Kosa
9.5,M,48,2650,29,18.5,17,10.9,10,16,34,18,12.6,13.7,20,11.3,Fazekas and Kosa
9.5,M,48,2553,28,14,17,10.9,10,16.7,32,17,12,13,22.5,12,Fazekas and Kosa
9.5,M,48,3300,28,17,17,11,11,18,33.5,16,13,13.2,25,14.5,Fazekas and Kosa
9.5,F,48,2510,28,14.6,17,11,11,17.2,36.5,18.3,12,12.5,21,11,Fazekas and Kosa
10,F,51,3410,28,17.9,20,12,11.2,18.5,38,18,12.5,15.9,27.5,14.3,Fazekas and Kosa
9.5,F,48,2460,30.5,15,17,10.5,12,17,36,17,12.5,13.5,24,14,Fazekas and Kosa
9.5,F,48,3400,27,15.8,17,11,11.5,17.100000000000001,38,15,12.1,14,25.5,14.9,Fazekas and Kosa
9.5,F,48,3450,30.5,17.5,18,12,11,18.5,37,17.8,12.3,13.6,26.6,15,Fazekas and Kosa
10,M,50,2700,31,16,18,12,11,16,38,18,13,15,24,12,Fazekas and Kosa
10,M,50,2650,30,14.1,19,12,11.5,17,37,17.5,13.6,14.4,29,11.5,Fazekas and Kosa
10,M,50,3150,33.5,17,19,12.2,11,18,38,17.2,13.5,14,29,15,Fazekas and Kosa
10,M,55,4120,34.5,22,20,13,12,18.2,37,16,13,17.7,27,16,Fazekas and Kosa
10,F,51,3100,33,17,19,12,12,18,40,18,13,15,22,16,Fazekas and Kosa
10,F,52,3180,30,17.6,19,12,12,18,37.6,16.3,12.2,13.4,22,11,Fazekas and Kosa
10,F,52,3000,27.5,18,20,13,12,18.5,37,18.399999999999999,13,15.5,25.5,14.3,Fazekas and Kosa
10,F,53,3000,30.4,17,20,13,12,18.3,40,18,13.5,15,25,12.2,Fazekas and Kosa
10,F,53,3110,29.3,17.6,20,13,12,19,40.4,17.5,12.7,16,26.5,16.9,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fazekas and Kosa
5.5,F,27.3,441.4,17.3,9,8.1,6.1,5.9,10.5,16.8,9.6,8.3,6.4,10.4,5.8,Fazekas and Kosa
