lunar_month,sex,body_length_cm,body_weight_g,frontal_squama_height_cord_mm,frontal_squama_height_perimeter_mm,frontal_squama_width_cord_mm,frontal_squama_width_perimeter_mm,temporal_squama_height_mm,temporal_squama_width_mm,temporal_squama_length_mm,annulus_tympanicus_diameter_mm,parietal_bone_height_cord_mm,parietal_bone_height_perimeter_mm,parietal_bone_width_cord_mm,parietal_bone_width_perimeter_mm,occipital_squama_height_cord_mm,occipital_squama_height_perimeter_mm,occipital_squama_width_cord_mm,occipital_squama_width_perimeter_mm,dataset
3,M,9,12,6,6,9,9,NA,NA,NA,NA,NA,NA,NA,NA,7,7,11,11,Fazekas and Kosa
3,F,10,40,8,8,14,14,2.8,2.8,7,NA,10,10,14,14,8,8,13,13,Fazekas and Kosa
3.5,M,12,60,8.8,8.8,13,13,3.1,3.1,12.6,NA,12.1,12.1,15.2,15.2,9.5,9.5,13.2,13.2,Fazekas and Kosa
3.5,F,12,100,9.5,9.5,14.5,14.5,2.8,2.8,7.5,NA,10,10,13,13,13.5,13.5,15,15,Fazekas and Kosa
5.5,M,27,420,31.8,33,27,28,11.9,15.5,17.5,10,36.3,NA,39.2,45,26.6,27,30.2,33,Fazekas and Kosa
3.5,F,13,60,12,12,14,14,5,5,8,4,15,15,20,20,9,9,15,15,Fazekas and Kosa
4,M,17,110,22.5,23,16,19,5,9,10,5,18.5,24,25.5,26,13.5,14,14,15,Fazekas and Kosa
4,M,16,100,19,20,15,18,7,10,11,6,16,22,20,22,14,15,14.5,15,Fazekas and Kosa
4,M,17,100,26.4,20,20,17,8,11,11.7,7.3,22,27,28,29,16,16.5,20,21,Fazekas and Kosa
4,M,17,180,20,21.3,15,17,9,11,14,4.5,22,27,22,25,17,17.5,18,19,Fazekas and Kosa
4,M,17,190,22.7,23,21,22,8.5,10,13.7,6.2,30,32,31.7,32,19.5,20,23.4,24,Fazekas and Kosa
4,F,17,95,22.5,23,17,18,6.5,10,11,5,23,27,25,26,14,15,15,16,Fazekas and Kosa
4,F,17,100,21,22,18.5,19,6,10,10.9,6,21,25,24,25,14,15,22,23,Fazekas and Kosa
4,F,17,110,18,19,18,19,5,10,10.2,5.5,21,25,22.5,25,13,14,18.6,20,Fazekas and Kosa
4,F,20,140,22,22.5,20,20.5,6.1,10,11.5,6.1,25,26,29.5,30,15,15,21.6,23,Fazekas and Kosa
4.5,M,22,185,23,25,21,23,8,13,15,7,26,30,29,31,18,19,18,19,Fazekas and Kosa
4.5,M,22,180,24,26,20,22,10,13,16,7,28,31,30,32,17,19,18,19,Fazekas and Kosa
4.5,M,22,250,25.7,27,22,24,8.2,12.5,15,8.4,32.5,37,34.6,35,22.8,18,23,24,Fazekas and Kosa
